"INDEX 
","CURRENT 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","INDICATIVE CLOSE 
","PREV. CLOSE 
","PREV. DAY 
 29-Apr-2025","1W AGO 
 25-Apr-2025","1M AGO 
 01-Apr-2025","1Y AGO 
 30-Apr-2024","52W H 
","52W L 
","365 D % CHNG 
 30-Apr-2024","30 D % CHNG 
 01-Apr-2025"
"NIFTY HEALTHCARE INDEX","13,952.40","-0.72","14,009.85","14,160.80","13,885.65","-","14,053.60","13,992.20","13,829.80","13,474.95","11,974.50","15,108.80","6,482.80","17.36","4.29"
"NIFTY CONSUMER DURABLES","36,710.20","-1.05","36,958.60","37,104.70","36,479.95","-","37,097.95","37,426.40","36,941.50","34,760.00","34,630.10","44,426.55","14,089.55","7.13","6.73"
"NIFTY OIL & GAS","11,260.40","0.72","11,196.40","11,358.55","11,176.25","-","11,179.55","11,184.50","10,788.65","10,558.15","11,826.50","13,607.20","4,632.70","-5.47","5.89"
"NIFTY MIDSMALL HEALTHCARE","40,513.05","-0.73","40,762.70","41,018.95","40,362.45","-","40,811.60","40,839.35","40,527.15","40,056.15","34,088.65","45,285.50","20,019.15","19.72","1.89"
"NIFTY FINANCIAL SERVICES EX-BANK","27,292.10","0.21","27,203.90","27,500.50","27,034.10","-","27,234.80","27,639.65","27,510.25","26,044.10","23,651.09","28,512.35","21,702.40","15.15","4.57"
"NIFTY MIDSMALL FINANCIAL SERVICES","16,145.30","-0.14","16,168.40","16,332.70","16,052.90","-","16,167.35","16,438.30","16,109.70","14,891.15","14,062.07","16,743.90","12,407.95","14.97","8.57"
"NIFTY MIDSMALL IT & TELECOM","9,322.00","-0.24","9,309.35","9,449.10","9,255.05","-","9,344.75","9,392.20","9,290.30","9,105.80","9,431.88","11,723.20","7,836.00","-0.92","2.62"
"NIFTY DIVIDEND OPPORTUNITIES 50","5,877.00","-0.05","5,877.20","5,942.55","5,842.90","-","5,880.15","5,910.30","5,883.90","5,785.70","5,909.35","7,012.65","5,288.60","-0.49","1.63"
"NIFTY GROWTH SECTORS 15","11,137.00","-0.20","11,162.20","11,279.50","11,087.00","-","11,159.60","11,128.95","11,036.30","10,531.60","10,674.90","13,065.05","9,722.65","4.54","5.96"
"NIFTY100 QUALITY 30","5,357.00","-0.51","5,372.85","5,416.15","5,334.75","-","5,384.30","5,387.40","5,336.50","5,167.50","5,189.30","-","-","3.76","4.20"
"NIFTY50 VALUE 20","12,640.35","0.20","12,599.55","12,776.00","12,575.65","-","12,615.05","12,652.00","12,565.50","12,356.55","12,414.35","14,731.65","11,375.50","1.62","2.09"
"NIFTY50 TR 2X LEVERAGE","19,552.70","0.14","19,482.15","19,926.25","19,365.65","-","19,524.40","19,530.35","19,065.35","17,828.50","17,920.40","23,715.35","15,663.75","8.95","9.51"
"NIFTY50 PR 2X LEVERAGE","13,324.85","0.15","13,276.75","13,579.40","13,197.35","-","13,305.55","13,309.60","12,997.20","12,154.00","12,523.80","16,297.55","10,678.25","6.24","9.47"
"NIFTY50 TR 1X INVERSE","172.15","-0.06","172.45","173.00","170.50","-","172.25","172.20","174.30","180.70","180.00","192.05","156.10","-4.31","-4.68"
"NIFTY50 PR 1X INVERSE","208.35","-0.05","208.75","209.35","206.35","-","208.45","208.40","210.90","218.70","215.15","232.40","188.15","-3.11","-4.69"
"NIFTY50 DIVIDEND POINTS","4.22","-","4.22","4.22","4.22","-","-","4.22","-","-","-","-","-","-","-"
"NIFTY ALPHA 50","47,490.65","-0.38","47,648.65","47,995.55","47,208.60","-","47,670.80","48,219.85","47,029.85","45,298.55","50,494.70","-","-","-5.59","5.24"
"NIFTY50 EQUAL WEIGHT","30,148.50","-0.20","30,144.35","30,528.50","29,974.15","-","30,209.55","30,271.90","30,040.65","29,006.75","28,447.45","-","-","6.19","4.15"
"NIFTY100 EQUAL WEIGHT","31,076.65","-0.15","31,075.75","31,413.95","30,899.15","-","31,123.15","31,234.65","30,988.50","30,017.80","30,248.05","-","-","2.89","3.68"
"NIFTY100 LOW VOLATILITY 30","19,368.60","-0.55","19,426.80","19,595.45","19,287.10","-","19,474.85","19,441.20","19,299.00","18,575.30","17,882.95","-","-","8.90","4.84"
"NIFTY200 QUALITY 30","19,685.95","-0.54","19,744.40","19,919.40","19,612.30","-","19,791.95","19,885.90","19,649.40","18,951.10","18,755.95","-","-","5.52","4.44"
"NIFTY ALPHA LOW-VOLATILITY 30","26,119.45","-0.42","26,176.35","26,407.20","26,001.00","-","26,230.00","26,212.95","25,998.15","24,824.45","26,503.75","-","-","-1.03","5.66"
"NIFTY200 MOMENTUM 30","29,251.20","-0.07","29,180.70","29,613.75","29,062.05","-","29,270.60","29,367.70","28,822.10","27,655.55","32,577.95","-","-","-10.15","5.84"
"NIFTY MIDCAP150 QUALITY 50","22,863.30","-0.13","22,883.95","23,061.05","22,772.10","-","22,892.50","22,969.20","22,579.45","21,695.20","21,370.55","-","-","7.12","5.52"
"NIFTY200 ALPHA 30","23,188.15","-0.39","23,173.05","23,477.50","23,038.55","-","23,278.50","23,415.30","23,086.40","22,062.20","24,538.40","-","-","-5.13","5.51"
"NIFTY MIDCAP150 MOMENTUM 50","57,407.85","-0.54","57,599.85","58,297.70","57,128.65","-","57,721.15","58,113.35","56,965.90","54,653.90","57,300.95","-","-","0.73","5.61"
"NIFTY500 MOMENTUM 50","49,859.20","0.18","49,675.50","50,416.55","49,565.45","-","49,767.60","50,185.00","49,285.95","46,893.90","-","-","-","-","6.13"
"NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100","45,790.15","-0.33","45,895.15","46,328.90","45,544.65","-","45,939.60","46,493.20","45,672.70","43,516.80","46,866.62","-","-","-1.98","5.57"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","42,268.50","0.08","42,298.90","42,589.20","41,874.45","-","42,236.75","42,933.00","42,446.00","41,687.30","47,398.32","-","-","-10.89","1.32"
"NIFTY TOP 10 EQUAL WEIGHT","9,623.40","0.13","9,605.50","9,714.95","9,577.85","-","9,611.30","9,578.25","9,442.25","9,178.70","-","-","-","-","4.71"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","21,461.05","-0.68","21,551.80","21,701.35","21,376.75","-","21,608.25","21,632.45","21,388.65","20,551.45","21,218.64","-","-","1.84","5.14"
"NIFTY ALPHA QUALITY VALUE LOW-VOLATILITY 30","19,602.85","-0.61","19,688.80","19,842.95","19,531.30","-","19,722.50","19,766.30","19,569.35","18,896.40","18,896.81","-","-","4.37","4.37"
"NIFTY HIGH BETA 50","3,442.30","0.28","3,434.05","3,485.05","3,418.70","-","3,432.60","3,476.85","3,421.20","3,323.40","4,008.88","-","-","-14.38","3.29"
"NIFTY LOW VOLATILITY 50","24,450.90","-0.67","24,557.65","24,752.25","24,352.35","-","24,615.70","24,563.55","24,388.75","23,289.00","22,262.48","-","-","10.57","5.70"
"NIFTY QUALITY LOW-VOLATILITY 30","16,755.95","-0.69","16,826.40","16,940.10","16,689.30","-","16,871.85","16,849.55","16,783.85","16,025.10","16,092.85","-","-","4.84","5.28"
"NIFTY SMALLCAP250 QUALITY 50","24,400.50","0.04","24,373.60","24,614.70","24,147.10","-","24,389.55","24,761.10","24,547.85","23,974.80","25,169.47","-","-","-3.10","1.73"
"NIFTY TOP 15 EQUAL WEIGHT","10,083.30","0.31","10,047.60","10,171.40","10,030.75","-","10,051.70","10,048.60","9,927.55","9,596.40","9,126.00","-","-","10.14","4.74"
"NIFTY100 ALPHA 30","17,068.10","-0.01","16,992.85","17,252.45","16,952.65","-","17,070.10","17,122.70","16,982.70","16,394.35","18,311.60","-","-","-6.78","4.12"
"NIFTY200 VALUE 30","12,506.85","0.14","12,488.80","12,680.90","12,423.90","-","12,489.20","12,594.45","12,472.90","12,364.05","12,780.34","-","-","-2.28","1.01"
"NIFTY500 EQUAL WEIGHT","12,982.35","-0.08","12,984.80","13,092.55","12,913.95","-","12,992.10","13,146.50","13,028.50","12,619.75","13,041.80","-","-","-0.38","2.95"
"NIFTY500 MULTICAP MOMENTUM QUALITY 50","39,325.05","-0.01","39,345.05","39,687.50","39,093.60","-","39,327.35","39,860.05","38,952.65","37,663.15","42,719.97","-","-","-7.94","4.42"
"NIFTY500 VALUE 50","13,481.35","0.32","13,437.20","13,652.05","13,390.75","-","13,437.85","13,552.25","13,395.10","13,302.80","14,047.15","-","-","-4.34","1.02"
"NIFTY TOP 20 EQUAL WEIGHT","8,998.65","0.24","8,970.00","9,074.55","8,951.70","-","8,977.55","8,987.10","8,891.75","8,568.05","8,203.22","-","-","9.44","4.78"
"NIFTY500 QUALITY 50","17,822.55","-0.14","17,831.35","18,005.40","17,729.20","-","17,847.60","18,047.85","17,758.40","17,224.50","-","-","-","-","-"
"NIFTY500 LOW VOLATILITY 50","20,799.45","-0.22","20,804.20","20,981.40","20,664.95","-","20,844.30","20,967.60","20,808.65","19,873.40","-","-","-","-","-"
"NIFTY500 MULTIFACTOR MQVLV 50","29,641.10","0.11","29,603.50","29,893.00","29,483.20","-","29,608.50","29,849.85","29,568.15","28,278.55","-","-","-","-","-"
"NIFTY COMMODITIES","8,490.50","-0.29","8,511.60","8,621.55","8,440.10","-","8,515.50","8,558.20","8,473.90","8,408.20","8,797.50","9,896.35","7,502.95","-3.21","1.28"
"NIFTY INDIA CONSUMPTION","11,285.15","-0.28","11,260.15","11,437.70","11,228.60","-","11,316.55","11,309.00","11,247.15","10,662.40","10,405.35","13,057.60","9,990.35","8.76","6.14"
"NIFTY CPSE","6,215.55","-0.71","6,225.60","6,307.80","6,172.90","-","6,260.05","6,283.00","6,214.35","6,086.45","6,253.95","7,661.90","5,284.25","0.10","2.85"
"NIFTY ENERGY","34,203.00","-0.11","34,206.05","34,600.65","33,990.60","-","34,241.60","34,438.75","33,956.50","33,289.15","40,366.70","45,022.15","29,313.20","-15.17","2.86"
"NIFTY INFRASTRUCTURE","8,791.30","0.06","8,776.35","8,892.75","8,745.05","-","8,785.85","8,763.85","8,589.30","8,389.50","8,575.25","9,704.20","7,589.95","2.46","4.72"
"NIFTY100 LIQUID 15","6,770.45","0.41","6,717.60","6,829.60","6,715.25","-","6,742.85","6,773.30","6,669.15","6,473.50","6,599.30","7,205.25","5,985.30","2.18","4.16"
"NIFTY MIDCAP LIQUID 15","13,886.35","-0.20","13,866.60","14,090.40","13,787.85","-","13,914.75","14,055.80","13,771.80","12,886.20","11,308.15","14,941.65","10,871.65","23.05","7.98"
"NIFTY MNC","26,908.10","-0.40","26,968.55","27,107.95","26,816.45","-","27,015.70","26,910.00","26,764.10","25,935.35","27,071.40","32,841.15","23,981.05","-0.21","4.17"
"NIFTY PSE","9,560.90","0.02","9,541.60","9,691.70","9,499.40","-","9,559.00","9,634.50","9,470.15","9,304.20","9,993.35","11,814.60","7,956.45","-4.35","2.74"
"NIFTY SERVICES SECTOR","32,214.20","0.12","32,138.15","32,520.15","32,073.85","-","32,175.60","32,195.30","31,985.65","30,579.75","28,503.40","33,791.15","26,535.15","12.88","5.22"
"NIFTY100 ESG SECTOR LEADERS","4,060.90","0.12","4,052.60","4,101.60","4,041.90","-","4,055.95","4,057.10","4,005.05","3,851.85","3,739.95","-","-","8.45","5.30"
"NIFTY INDIA DIGITAL","8,407.85","-0.12","8,381.60","8,529.30","8,354.85","-","8,418.05","8,413.85","8,352.45","8,153.65","7,701.65","10,152.15","4,755.25","9.30","3.24"
"NIFTY100 ESG","4,717.05","0.02","4,710.70","4,766.45","4,691.00","-","4,716.05","4,727.35","4,696.70","4,519.70","4,423.35","-","-","6.62","4.34"
"NIFTY INDIA MANUFACTURING","13,481.70","-0.18","13,489.90","13,654.95","13,403.60","-","13,505.35","13,541.40","13,255.50","12,968.25","12,970.00","-","-","4.13","4.14"
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP 25% CAP","14,818.05","0.25","14,769.15","14,957.10","14,701.00","-","14,780.95","14,991.80","14,762.50","14,854.95","16,348.75","18,764.95","9,887.45","-9.59","-0.50"
"NIFTY500 MULTICAP INDIA MANUFACTURING 50:30:20","14,234.65","-0.03","14,230.25","14,407.30","14,152.65","-","14,238.40","14,295.60","13,969.30","13,678.20","13,552.35","16,253.65","8,394.35","5.06","4.10"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","13,380.95","-0.22","13,381.60","13,541.90","13,317.55","-","13,410.70","13,440.80","13,204.00","12,879.95","13,249.70","15,154.10","8,010.10","1.22","4.12"
"NIFTY INDIA DEFENCE","7,110.55","-0.26","7,120.80","7,192.55","7,075.45","-","7,128.80","7,260.60","6,640.65","6,336.05","5,399.43","8,302.05","3,374.95","32.03","12.51"
"NIFTY INDIA TOURISM","9,001.30","0.50","8,941.40","9,075.40","8,938.25","-","8,956.15","9,045.10","8,960.75","8,604.25","-","9,315.80","6,058.05","-","4.09"
"NIFTY CAPITAL MARKETS","3,730.20","-0.12","3,733.20","3,777.15","3,707.05","-","3,734.65","3,820.85","3,744.55","3,375.15","-","4,265.80","2,009.60","-","10.65"
"NIFTY EV & NEW AGE AUTOMOTIVE","2,721.30","-0.06","2,718.40","2,755.40","2,707.20","-","2,722.90","2,739.40","2,695.55","2,653.00","2,867.05","-","-","-5.03","2.63"
"NIFTY INDIA NEW AGE CONSUMPTION","10,881.60","-0.33","10,862.75","11,035.60","10,825.45","-","10,917.45","10,933.50","10,843.95","10,396.35","10,191.43","-","-","7.12","5.01"
"NIFTY INDIA SELECT 5 CORPORATE GROUPS (MAATR)","34,636.10","0.41","34,637.15","35,073.90","34,425.60","-","34,494.20","34,659.40","34,106.90","33,155.45","35,697.36","-","-","-3.37","4.04"
"NIFTY MOBILITY","19,436.85","0.65","19,262.00","19,677.20","19,244.85","-","19,311.95","19,322.65","18,986.25","18,262.70","19,170.68","-","-","0.74","5.75"
"NIFTY100 ENHANCED ESG","4,752.05","0.02","4,745.65","4,801.85","4,725.90","-","4,750.90","4,762.55","4,731.40","4,553.60","4,454.92","-","-","6.64","4.33"
